-nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
0.065217, 0.021739, 0.065217, 0.173913, 0.152174, 0.217391, 0.108696, 0.065217, 0.086957, 0.043478, 0.000000, 0.000000, 
0.063830, 0.021277, 0.085106, 0.170213, 0.148936, 0.212766, 0.106383, 0.063830, 0.085106, 0.042553, 0.000000, 0.000000, 
0.062500, 0.020833, 0.083333, 0.166667, 0.145833, 0.229167, 0.104167, 0.062500, 0.083333, 0.041667, 0.000000, 0.000000, 
0.061224, 0.020408, 0.081633, 0.163265, 0.163265, 0.224490, 0.102041, 0.061224, 0.081633, 0.040816, 0.000000, 0.000000, 
0.060000, 0.020000, 0.080000, 0.160000, 0.160000, 0.240000, 0.100000, 0.060000, 0.080000, 0.040000, 0.000000, 0.000000, 
0.058824, 0.019608, 0.078431, 0.156863, 0.156863, 0.235294, 0.098039, 0.078431, 0.078431, 0.039216, 0.000000, 0.000000, 
0.057692, 0.019231, 0.076923, 0.153846, 0.153846, 0.230769, 0.115385, 0.076923, 0.076923, 0.038462, 0.000000, 0.000000, 
0.056604, 0.018868, 0.075472, 0.150943, 0.150943, 0.226415, 0.113208, 0.075472, 0.094340, 0.037736, 0.000000, 0.000000, 
0.055556, 0.018519, 0.074074, 0.148148, 0.148148, 0.222222, 0.111111, 0.092593, 0.092593, 0.037037, 0.000000, 0.000000, 
0.054545, 0.018182, 0.072727, 0.163636, 0.145455, 0.218182, 0.109091, 0.090909, 0.090909, 0.036364, 0.000000, 0.000000, 
0.053571, 0.017857, 0.071429, 0.160714, 0.142857, 0.214286, 0.125000, 0.089286, 0.089286, 0.035714, 0.000000, 0.000000, 
0.052632, 0.017544, 0.070175, 0.175439, 0.140351, 0.210526, 0.122807, 0.087719, 0.087719, 0.035088, 0.000000, 0.000000, 
0.051724, 0.017241, 0.068966, 0.189655, 0.137931, 0.206897, 0.120690, 0.086207, 0.086207, 0.034483, 0.000000, 0.000000, 
0.050847, 0.016949, 0.067797, 0.186441, 0.135593, 0.203390, 0.118644, 0.084746, 0.101695, 0.033898, 0.000000, 0.000000, 
0.050000, 0.016667, 0.066667, 0.183333, 0.133333, 0.200000, 0.116667, 0.083333, 0.100000, 0.050000, 0.000000, 0.000000, 
0.049180, 0.016393, 0.065574, 0.180328, 0.131148, 0.196721, 0.114754, 0.098361, 0.098361, 0.049180, 0.000000, 0.000000, 
0.048387, 0.016129, 0.064516, 0.177419, 0.145161, 0.193548, 0.112903, 0.096774, 0.096774, 0.048387, 0.000000, 0.000000, 
0.047619, 0.015873, 0.063492, 0.174603, 0.142857, 0.190476, 0.111111, 0.095238, 0.111111, 0.047619, 0.000000, 0.000000, 
0.046875, 0.015625, 0.062500, 0.171875, 0.140625, 0.187500, 0.109375, 0.093750, 0.125000, 0.046875, 0.000000, 0.000000, 
0.046154, 0.015385, 0.061538, 0.169231, 0.153846, 0.184615, 0.107692, 0.092308, 0.123077, 0.046154, 0.000000, 0.000000, 
0.045455, 0.015152, 0.060606, 0.166667, 0.151515, 0.181818, 0.106061, 0.106061, 0.121212, 0.045455, 0.000000, 0.000000, 
0.044776, 0.014925, 0.059701, 0.164179, 0.149254, 0.179104, 0.104478, 0.104478, 0.134328, 0.044776, 0.000000, 0.000000, 
0.044118, 0.014706, 0.058824, 0.161765, 0.147059, 0.191176, 0.102941, 0.102941, 0.132353, 0.044118, 0.000000, 0.000000, 
0.043478, 0.014493, 0.057971, 0.159420, 0.144928, 0.188406, 0.101449, 0.101449, 0.130435, 0.057971, 0.000000, 0.000000, 
0.042857, 0.014286, 0.057143, 0.157143, 0.142857, 0.185714, 0.100000, 0.114286, 0.128571, 0.057143, 0.000000, 0.000000, 
0.042254, 0.014085, 0.056338, 0.154930, 0.140845, 0.183099, 0.098592, 0.126761, 0.126761, 0.056338, 0.000000, 0.000000, 
0.041667, 0.013889, 0.055556, 0.152778, 0.138889, 0.180556, 0.097222, 0.138889, 0.125000, 0.055556, 0.000000, 0.000000, 
0.041096, 0.013699, 0.054795, 0.150685, 0.136986, 0.178082, 0.095890, 0.136986, 0.136986, 0.054795, 0.000000, 0.000000, 
0.054054, 0.013514, 0.054054, 0.148649, 0.135135, 0.175676, 0.094595, 0.135135, 0.135135, 0.054054, 0.000000, 0.000000, 
0.053333, 0.013333, 0.053333, 0.146667, 0.133333, 0.173333, 0.093333, 0.133333, 0.133333, 0.066667, 0.000000, 0.000000, 
0.052632, 0.013158, 0.052632, 0.144737, 0.131579, 0.171053, 0.092105, 0.144737, 0.131579, 0.065789, 0.000000, 0.000000, 
0.051948, 0.012987, 0.051948, 0.142857, 0.129870, 0.181818, 0.090909, 0.142857, 0.129870, 0.064935, 0.000000, 0.000000, 
0.051282, 0.012821, 0.051282, 0.153846, 0.128205, 0.179487, 0.089744, 0.141026, 0.128205, 0.064103, 0.000000, 0.000000, 
0.050633, 0.012658, 0.050633, 0.151899, 0.126582, 0.189873, 0.088608, 0.139241, 0.126582, 0.063291, 0.000000, 0.000000, 
0.050000, 0.012500, 0.050000, 0.150000, 0.125000, 0.187500, 0.100000, 0.137500, 0.125000, 0.062500, 0.000000, 0.000000, 
0.049383, 0.012346, 0.049383, 0.148148, 0.123457, 0.185185, 0.098765, 0.135802, 0.123457, 0.074074, 0.000000, 0.000000, 
0.048780, 0.012195, 0.048780, 0.146341, 0.134146, 0.182927, 0.097561, 0.134146, 0.121951, 0.073171, 0.000000, 0.000000, 
0.048193, 0.012048, 0.048193, 0.156627, 0.132530, 0.180723, 0.096386, 0.132530, 0.120482, 0.072289, 0.000000, 0.000000, 
0.047619, 0.011905, 0.047619, 0.154762, 0.130952, 0.190476, 0.095238, 0.130952, 0.119048, 0.071429, 0.000000, 0.000000, 
0.047059, 0.011765, 0.047059, 0.152941, 0.129412, 0.188235, 0.105882, 0.129412, 0.117647, 0.070588, 0.000000, 0.000000, 
0.046512, 0.011628, 0.046512, 0.151163, 0.139535, 0.186047, 0.104651, 0.127907, 0.116279, 0.069767, 0.000000, 0.000000, 
0.045977, 0.011494, 0.045977, 0.149425, 0.137931, 0.183908, 0.103448, 0.137931, 0.114943, 0.068966, 0.000000, 0.000000, 
0.045455, 0.011364, 0.045455, 0.147727, 0.136364, 0.181818, 0.113636, 0.136364, 0.113636, 0.068182, 0.000000, 0.000000, 
0.044944, 0.011236, 0.044944, 0.146067, 0.134831, 0.179775, 0.123596, 0.134831, 0.112360, 0.067416, 0.000000, 0.000000, 
0.044444, 0.011111, 0.044444, 0.144444, 0.133333, 0.177778, 0.122222, 0.144444, 0.111111, 0.066667, 0.000000, 0.000000, 
0.043956, 0.010989, 0.043956, 0.142857, 0.131868, 0.175824, 0.120879, 0.142857, 0.109890, 0.076923, 0.000000, 0.000000, 
0.043478, 0.010870, 0.043478, 0.141304, 0.130435, 0.173913, 0.119565, 0.141304, 0.108696, 0.086957, 0.000000, 0.000000, 
0.043011, 0.010753, 0.043011, 0.139785, 0.129032, 0.172043, 0.118280, 0.139785, 0.107527, 0.086022, 0.010753, 0.000000, 
0.042553, 0.021277, 0.042553, 0.138298, 0.127660, 0.170213, 0.117021, 0.138298, 0.106383, 0.085106, 0.010638, 0.000000, 
0.042105, 0.021053, 0.042105, 0.147368, 0.126316, 0.168421, 0.115789, 0.136842, 0.105263, 0.084211, 0.010526, 0.000000, 
0.041667, 0.020833, 0.041667, 0.145833, 0.125000, 0.166667, 0.125000, 0.135417, 0.104167, 0.083333, 0.010417, 0.000000, 
0.041237, 0.020619, 0.041237, 0.144330, 0.134021, 0.164948, 0.123711, 0.134021, 0.103093, 0.082474, 0.010309, 0.000000, 
0.040816, 0.020408, 0.040816, 0.142857, 0.142857, 0.163265, 0.122449, 0.132653, 0.102041, 0.081633, 0.010204, 0.000000, 
0.040404, 0.020202, 0.040404, 0.141414, 0.141414, 0.161616, 0.131313, 0.131313, 0.101010, 0.080808, 0.010101, 0.000000, 
0.040000, 0.020000, 0.040000, 0.150000, 0.140000, 0.160000, 0.130000, 0.130000, 0.100000, 0.080000, 0.010000, 0.000000, 
0.039604, 0.019802, 0.039604, 0.148515, 0.138614, 0.158416, 0.138614, 0.128713, 0.099010, 0.079208, 0.009901, 0.000000, 
0.039216, 0.019608, 0.049020, 0.147059, 0.137255, 0.156863, 0.137255, 0.127451, 0.098039, 0.078431, 0.009804, 0.000000, 
0.038835, 0.019417, 0.048544, 0.145631, 0.135922, 0.155340, 0.135922, 0.135922, 0.097087, 0.077670, 0.009709, 0.000000, 
0.038462, 0.019231, 0.048077, 0.144231, 0.134615, 0.153846, 0.144231, 0.134615, 0.096154, 0.076923, 0.009615, 0.000000, 
0.038095, 0.019048, 0.047619, 0.142857, 0.133333, 0.152381, 0.142857, 0.133333, 0.104762, 0.076190, 0.009524, 0.000000, 
0.047170, 0.018868, 0.047170, 0.141509, 0.132075, 0.150943, 0.141509, 0.132075, 0.103774, 0.075472, 0.009434, 0.000000, 
0.046729, 0.018692, 0.046729, 0.140187, 0.130841, 0.149533, 0.149533, 0.130841, 0.102804, 0.074766, 0.009346, 0.000000, 
0.046296, 0.018519, 0.046296, 0.138889, 0.129630, 0.157407, 0.148148, 0.129630, 0.101852, 0.074074, 0.009259, 0.000000, 
0.045872, 0.018349, 0.045872, 0.137615, 0.128440, 0.165138, 0.146789, 0.128440, 0.100917, 0.073394, 0.009174, 0.000000, 
0.045455, 0.018182, 0.045455, 0.136364, 0.127273, 0.172727, 0.145455, 0.127273, 0.100000, 0.072727, 0.009091, 0.000000, 
0.045045, 0.018018, 0.045045, 0.135135, 0.126126, 0.171171, 0.144144, 0.135135, 0.099099, 0.072072, 0.009009, 0.000000, 
0.044643, 0.017857, 0.044643, 0.133929, 0.125000, 0.169643, 0.142857, 0.133929, 0.098214, 0.080357, 0.008929, 0.000000, 
0.044248, 0.017699, 0.044248, 0.132743, 0.132743, 0.168142, 0.141593, 0.132743, 0.097345, 0.079646, 0.008850, 0.000000, 
0.043860, 0.017544, 0.043860, 0.131579, 0.131579, 0.166667, 0.140351, 0.131579, 0.096491, 0.078947, 0.017544, 0.000000, 
0.043478, 0.017391, 0.043478, 0.130435, 0.130435, 0.165217, 0.147826, 0.130435, 0.095652, 0.078261, 0.017391, 0.000000, 
0.043103, 0.017241, 0.043103, 0.129310, 0.129310, 0.172414, 0.146552, 0.129310, 0.094828, 0.077586, 0.017241, 0.000000, 
0.042735, 0.017094, 0.051282, 0.128205, 0.128205, 0.170940, 0.145299, 0.128205, 0.094017, 0.076923, 0.017094, 0.000000, 
0.042373, 0.016949, 0.050847, 0.127119, 0.135593, 0.169492, 0.144068, 0.127119, 0.093220, 0.076271, 0.016949, 0.000000, 
0.042017, 0.016807, 0.050420, 0.126050, 0.134454, 0.168067, 0.142857, 0.134454, 0.092437, 0.075630, 0.016807, 0.000000, 
0.041667, 0.016667, 0.050000, 0.125000, 0.133333, 0.166667, 0.141667, 0.141667, 0.091667, 0.075000, 0.016667, 0.000000, 
0.041322, 0.016529, 0.057851, 0.123967, 0.132231, 0.165289, 0.140496, 0.140496, 0.090909, 0.074380, 0.016529, 0.000000, 
0.040984, 0.016393, 0.057377, 0.122951, 0.131148, 0.163934, 0.139344, 0.139344, 0.098361, 0.073770, 0.016393, 0.000000, 
0.040650, 0.016260, 0.056911, 0.121951, 0.130081, 0.162602, 0.146341, 0.138211, 0.097561, 0.073171, 0.016260, 0.000000, 
0.040323, 0.016129, 0.056452, 0.120968, 0.129032, 0.161290, 0.145161, 0.137097, 0.104839, 0.072581, 0.016129, 0.000000, 
0.040000, 0.016000, 0.056000, 0.120000, 0.128000, 0.160000, 0.144000, 0.136000, 0.104000, 0.080000, 0.016000, 0.000000, 
0.039683, 0.015873, 0.055556, 0.119048, 0.134921, 0.158730, 0.142857, 0.134921, 0.103175, 0.079365, 0.015873, 0.000000, 
0.039370, 0.023622, 0.055118, 0.118110, 0.133858, 0.157480, 0.141732, 0.133858, 0.102362, 0.078740, 0.015748, 0.000000, 
0.039062, 0.023438, 0.054688, 0.117188, 0.132812, 0.156250, 0.140625, 0.132812, 0.101562, 0.085938, 0.015625, 0.000000, 
0.038760, 0.023256, 0.062016, 0.116279, 0.131783, 0.155039, 0.139535, 0.131783, 0.100775, 0.085271, 0.015504, 0.000000, 
0.038462, 0.023077, 0.061538, 0.115385, 0.138462, 0.153846, 0.138462, 0.130769, 0.100000, 0.084615, 0.015385, 0.000000, 
0.038168, 0.022901, 0.061069, 0.114504, 0.137405, 0.160305, 0.137405, 0.129771, 0.099237, 0.083969, 0.015267, 0.000000, 
0.037879, 0.022727, 0.060606, 0.113636, 0.136364, 0.159091, 0.143939, 0.128788, 0.098485, 0.083333, 0.015152, 0.000000, 
0.037594, 0.022556, 0.067669, 0.112782, 0.135338, 0.157895, 0.142857, 0.127820, 0.097744, 0.082707, 0.015038, 0.000000, 
0.037313, 0.022388, 0.067164, 0.111940, 0.134328, 0.164179, 0.141791, 0.126866, 0.097015, 0.082090, 0.014925, 0.000000, 
0.037037, 0.022222, 0.074074, 0.111111, 0.133333, 0.162963, 0.140741, 0.125926, 0.096296, 0.081481, 0.014815, 0.000000, 
0.044118, 0.022059, 0.073529, 0.110294, 0.132353, 0.161765, 0.139706, 0.125000, 0.095588, 0.080882, 0.014706, 0.000000, 
0.043796, 0.021898, 0.072993, 0.109489, 0.131387, 0.160584, 0.138686, 0.131387, 0.094891, 0.080292, 0.014599, 0.000000, 
0.043478, 0.021739, 0.072464, 0.108696, 0.130435, 0.159420, 0.137681, 0.137681, 0.094203, 0.079710, 0.014493, 0.000000, 
0.043165, 0.021583, 0.071942, 0.107914, 0.129496, 0.158273, 0.136691, 0.143885, 0.093525, 0.079137, 0.014388, 0.000000, 
0.042857, 0.021429, 0.071429, 0.107143, 0.128571, 0.157143, 0.135714, 0.142857, 0.100000, 0.078571, 0.014286, 0.000000, 
0.042553, 0.021277, 0.070922, 0.106383, 0.127660, 0.156028, 0.134752, 0.148936, 0.099291, 0.078014, 0.014184, 0.000000, 
0.042254, 0.021127, 0.070423, 0.112676, 0.126761, 0.154930, 0.133803, 0.147887, 0.098592, 0.077465, 0.014085, 0.000000, 
0.041958, 0.020979, 0.069930, 0.111888, 0.125874, 0.153846, 0.132867, 0.153846, 0.097902, 0.076923, 0.013986, 0.000000, 
0.041667, 0.020833, 0.069444, 0.111111, 0.125000, 0.152778, 0.138889, 0.152778, 0.097222, 0.076389, 0.013889, 0.000000, 
0.041379, 0.020690, 0.068966, 0.110345, 0.124138, 0.151724, 0.137931, 0.151724, 0.096552, 0.082759, 0.013793, 0.000000, 
0.041096, 0.020548, 0.068493, 0.109589, 0.123288, 0.150685, 0.143836, 0.150685, 0.095890, 0.082192, 0.013699, 0.000000, 
0.040816, 0.027211, 0.068027, 0.108844, 0.122449, 0.149660, 0.142857, 0.149660, 0.095238, 0.081633, 0.013605, 0.000000, 
0.040541, 0.027027, 0.067568, 0.114865, 0.121622, 0.148649, 0.141892, 0.148649, 0.094595, 0.081081, 0.013514, 0.000000, 
0.040268, 0.026846, 0.067114, 0.114094, 0.127517, 0.147651, 0.140940, 0.147651, 0.093960, 0.080537, 0.013423, 0.000000, 
0.040000, 0.026667, 0.073333, 0.113333, 0.126667, 0.146667, 0.140000, 0.146667, 0.093333, 0.080000, 0.013333, 0.000000, 
0.039735, 0.026490, 0.072848, 0.112583, 0.125828, 0.145695, 0.145695, 0.145695, 0.092715, 0.079470, 0.013245, 0.000000, 
0.046053, 0.026316, 0.072368, 0.111842, 0.125000, 0.144737, 0.144737, 0.144737, 0.092105, 0.078947, 0.013158, 0.000000, 
0.045752, 0.032680, 0.071895, 0.111111, 0.124183, 0.143791, 0.143791, 0.143791, 0.091503, 0.078431, 0.013072, 0.000000, 
0.045455, 0.032468, 0.071429, 0.116883, 0.123377, 0.142857, 0.142857, 0.142857, 0.090909, 0.077922, 0.012987, 0.000000, 
0.045161, 0.038710, 0.070968, 0.116129, 0.122581, 0.141935, 0.141935, 0.141935, 0.090323, 0.077419, 0.012903, 0.000000, 
0.044872, 0.038462, 0.070513, 0.115385, 0.121795, 0.141026, 0.141026, 0.147436, 0.089744, 0.076923, 0.012821, 0.000000, 
0.044586, 0.038217, 0.070064, 0.114650, 0.121019, 0.140127, 0.140127, 0.146497, 0.095541, 0.076433, 0.012739, 0.000000, 
0.044304, 0.037975, 0.069620, 0.113924, 0.120253, 0.139241, 0.145570, 0.145570, 0.094937, 0.075949, 0.012658, 0.000000, 
0.044025, 0.037736, 0.069182, 0.113208, 0.125786, 0.138365, 0.144654, 0.144654, 0.094340, 0.075472, 0.012579, 0.000000, 
0.043750, 0.037500, 0.068750, 0.112500, 0.125000, 0.143750, 0.143750, 0.143750, 0.093750, 0.075000, 0.012500, 0.000000, 
0.043478, 0.037267, 0.068323, 0.118012, 0.124224, 0.142857, 0.142857, 0.142857, 0.093168, 0.074534, 0.012422, 0.000000, 
0.043210, 0.043210, 0.067901, 0.117284, 0.123457, 0.141975, 0.141975, 0.141975, 0.092593, 0.074074, 0.012346, 0.000000, 
0.042945, 0.042945, 0.073620, 0.116564, 0.122699, 0.141104, 0.141104, 0.141104, 0.092025, 0.073620, 0.012270, 0.000000, 
0.042683, 0.042683, 0.073171, 0.115854, 0.121951, 0.140244, 0.146341, 0.140244, 0.091463, 0.073171, 0.012195, 0.000000, 
0.042424, 0.042424, 0.072727, 0.115152, 0.121212, 0.145455, 0.145455, 0.139394, 0.090909, 0.072727, 0.012121, 0.000000, 
0.042169, 0.042169, 0.078313, 0.114458, 0.120482, 0.144578, 0.144578, 0.138554, 0.090361, 0.072289, 0.012048, 0.000000, 
0.041916, 0.041916, 0.077844, 0.113772, 0.119760, 0.143713, 0.143713, 0.143713, 0.089820, 0.071856, 0.011976, 0.000000, 
0.041667, 0.041667, 0.077381, 0.113095, 0.119048, 0.148810, 0.142857, 0.142857, 0.089286, 0.071429, 0.011905, 0.000000, 
0.041420, 0.041420, 0.076923, 0.112426, 0.118343, 0.147929, 0.142012, 0.147929, 0.088757, 0.071006, 0.011834, 0.000000, 
0.041176, 0.041176, 0.076471, 0.111765, 0.123529, 0.147059, 0.141176, 0.147059, 0.088235, 0.070588, 0.011765, 0.000000, 
0.040936, 0.040936, 0.076023, 0.111111, 0.128655, 0.146199, 0.140351, 0.146199, 0.087719, 0.070175, 0.011696, 0.000000, 
0.040698, 0.040698, 0.075581, 0.110465, 0.127907, 0.145349, 0.139535, 0.145349, 0.087209, 0.075581, 0.011628, 0.000000, 
0.040462, 0.040462, 0.075145, 0.115607, 0.127168, 0.144509, 0.138728, 0.144509, 0.086705, 0.075145, 0.011561, 0.000000, 
0.040230, 0.040230, 0.080460, 0.114943, 0.126437, 0.143678, 0.137931, 0.143678, 0.086207, 0.074713, 0.011494, 0.000000, 
0.040000, 0.040000, 0.080000, 0.114286, 0.131429, 0.142857, 0.137143, 0.142857, 0.085714, 0.074286, 0.011429, 0.000000, 
0.039773, 0.039773, 0.079545, 0.113636, 0.136364, 0.142045, 0.136364, 0.142045, 0.085227, 0.073864, 0.011364, 0.000000, 
0.039548, 0.039548, 0.079096, 0.112994, 0.141243, 0.141243, 0.135593, 0.141243, 0.084746, 0.073446, 0.011299, 0.000000, 
0.039326, 0.039326, 0.078652, 0.117978, 0.140449, 0.140449, 0.134831, 0.140449, 0.084270, 0.073034, 0.011236, 0.000000, 
0.039106, 0.039106, 0.078212, 0.117318, 0.139665, 0.139665, 0.139665, 0.139665, 0.083799, 0.072626, 0.011173, 0.000000, 
0.038889, 0.038889, 0.077778, 0.116667, 0.138889, 0.138889, 0.138889, 0.144444, 0.083333, 0.072222, 0.011111, 0.000000, 
0.038674, 0.038674, 0.077348, 0.116022, 0.143646, 0.138122, 0.138122, 0.143646, 0.082873, 0.071823, 0.011050, 0.000000, 
0.038462, 0.038462, 0.082418, 0.115385, 0.142857, 0.137363, 0.137363, 0.142857, 0.082418, 0.071429, 0.010989, 0.000000, 
0.038251, 0.038251, 0.081967, 0.114754, 0.142077, 0.136612, 0.136612, 0.142077, 0.087432, 0.071038, 0.010929, 0.000000, 
0.038043, 0.038043, 0.081522, 0.114130, 0.141304, 0.135870, 0.135870, 0.146739, 0.086957, 0.070652, 0.010870, 0.000000, 
0.037838, 0.043243, 0.081081, 0.113514, 0.140541, 0.135135, 0.135135, 0.145946, 0.086486, 0.070270, 0.010811, 0.000000, 
0.037634, 0.043011, 0.080645, 0.112903, 0.139785, 0.134409, 0.139785, 0.145161, 0.086022, 0.069892, 0.010753, 0.000000, 
0.037433, 0.042781, 0.080214, 0.112299, 0.139037, 0.133690, 0.139037, 0.144385, 0.085561, 0.069519, 0.016043, 0.000000, 
0.037234, 0.042553, 0.079787, 0.111702, 0.138298, 0.138298, 0.138298, 0.143617, 0.085106, 0.069149, 0.015957, 0.000000, 
0.037037, 0.047619, 0.079365, 0.111111, 0.137566, 0.137566, 0.137566, 0.142857, 0.084656, 0.068783, 0.015873, 0.000000, 
0.036842, 0.047368, 0.078947, 0.110526, 0.136842, 0.136842, 0.136842, 0.142105, 0.089474, 0.068421, 0.015789, 0.000000, 
